x;Flexion
14,973;21,484
19,996;25,86
24,949;27,638
29,938;29,518
34,964;31,515
39,953;33,336
44,925;34,629
49,933;35,892
54,941;37,156
59,985;38,301
64,939;39,3
69,965;40,299
74,955;41,386
79,964;42,268
84,918;43,091
89,908;43,767
94,971;44,678
99,961;45,295
104,897;46,352
109,905;47,278
114,897;45,619
119,924;46,545
131,302;53,806

x;Abduction
14,948;12,217
19,987;15,097
24,983;18,022
29,908;20,668
34,976;22,697
39,973;24,119
44,956;25,856
49,896;27,127
54,98;27,687
59,993;28,189
64,962;28,772
69,974;29,273
74,943;29,81
79,955;30,626
84,939;30,953
89,922;31,897
94,937;30,15
99,949;30,78
104,846;31,712
109,916;32,552
114,89;33,24
119,898;33,5
135,946;37,479

x;SAB
14,929;17,695
19,983;20,038
24,936;22,358
29,876;23,885
34,931;24,97
39,986;26,299
44,955;27,336
49,866;28,665
54,921;29,773
59,976;30,788
64,873;31,779
69,942;32,688
74,911;33,295
79,996;34,111
84,864;34,962
89,89;35,778
94,917;36,397
99,944;37,201
104,912;38,111
109,968;39,137
114,893;39,837
120,009;37,529
138,502;40,387
