x;Flexion
15,021;-15,779
20,023;-18,331
25,024;-20,659
29,988;-23,243
35,063;-25,763
40,007;-28,276
45,048;-30,727
50,042;-32,978
55,036;-35,309
59,937;-37,801
65,024;-40,051
70,065;-42,423
74,965;-45,112
79,963;-47,618
84,991;-50,125
90,019;-52,479
94,959;-54,935
100,016;-57,037
105,014;-59,29
110,012;-61,239
114,981;-63,569
120,007;-63,746
131,483;-66,978

x;SAB
15,001;-35,017
19,971;-43,185
25,01;-47,077
29,974;-49,82
35,012;-51,798
39,901;-53,329
45,013;-54,668
50,049;-55,561
55,086;-56,327
59,974;-57,028
65,011;-57,538
69,899;-58,112
74,936;-58,75
80,046;-59,26
84,94;-59,807
89,967;-60,102
94,993;-60,481
100,107;-60,86
104,957;-61,012
109,953;-61,315
114,832;-61,315
120,005;-61,973
138,012;-64,164

x;Abduction
15,022;-51,15
20,066;-57,983
25,013;-59,591
29,961;-62,726
35,094;-63,69
40,133;-64,252
45,078;-64,332
50,023;-64,171
54,968;-63,769
60,1;-63,206
65,044;-62,562
70,082;-61,677
75,027;-60,873
79,878;-59,988
85,01;-59,023
90,046;-58,058
94,993;-58,62
100,031;-58,218
105,069;-57,414
110,014;-57,092
114,959;-57,091
119,998;-57,493
135,956;-60,466
