x;Flexion
14,982;-1,2905
19,98;-0,918
25,07;-0,5951
30,021;-0,0861
34,973;0,8197
39,925;1,8743
44,991;2,8298
49,943;3,9588
55,01;5,1994
59,985;6,5393
65,051;7,7304
70,003;8,909
74,977;10,1372
79,929;11,3779
85,019;12,7053
89,97;14,0203
94,991;15,5462
100,012;17,1341
105,032;18,8833
109,984;20,9672
114,937;22,8403
119,911;24,1801
131,363;30,12

x;Abduction
14,941;1,288
19,949;1,2983
24,976;1,9386
30,003;3,1006
34,975;4,0854
40,002;4,9028
44,992;5,8975
49,964;6,9217
55,009;7,6899
60;8,6059
65,027;9,5513
69,975;10,6318
74,966;11,8198
79,985;12,9766
85,02;14,3755
89,982;15,7978
94,973;16,6186
100,037;18,2363
104,984;19,854
109,99;21,5811
114,966;23,105
120,03;24,7461
136,079;30,9178

x;SAB
14,913;0,669
19,98;0,7935
25,07;1,3024
29,883;1,9478
34,904;2,5683
39,948;3,6106
44,922;4,7148
50,035;5,8686
54,941;6,9481
60,054;8,1143
64,959;9,3053
69,98;10,4095
75,001;11,4394
80,021;12,6924
84,927;13,871
89,97;15,1737
94,991;16,4888
100,035;17,7046
104,826;19,4661
110,007;21,054
114,959;22,8527
120,071;24,1926
138,565;32,2272
