x,Right,left
"9,877","2,844","5,886"
"10,071","2,87","5,92"
"19,853","4,354","7,847"
"20,079","4,396","7,9"
"29,86","6,659","10,427"
"30,086","6,721","10,483"
"39,897","9,729","12,55"
"40,029","9,772","12,572"
"49,843","13,101","14,35"
"50,099","13,187","14,415"
"59,795","16,603","17,946"
"59,978","16,675","18,027"
"69,887","20,633","21,943"
"70,023","20,681","21,963"
"79,87","24,13","25,133"
"80,086","24,231","25,25"
"90,026","30,444","31,085"
"100,102","37,125","37,291"
"109,857","43,122","43,299"
"110,017","43,214","43,396"
"119,913","48,246","48,674"
"119,973","48,272","48,706"
"129,822","51,945","53,732"
"129,961","51,996","53,777"
"139,767","55,798","54,385"
"139,888","55,846","54,375"
