x,Right,Left
"9,894","2,56","4,891"
"10,096","2,697","5,052"
"19,981","9,459","12,599"
"20,211","9,62","12,759"
"29,883","16,562","19,091"
"30,055","16,687","19,205"
"40,011","23,72","25,973"
"40,203","23,85","26,099"
"50,045","30,141","32,36"
"50,156","30,209","32,433"
"59,89","36,461","38,994"
"60,062","36,59","39,104"
"69,669","43,767","44,187"
"69,717","43,793","44,206"
"79,863","47,761","48,238"
"80,023","47,836","48,321"
"89,767","53,938","54,908"
"90,166","54,21","55,194"
"99,712","60,519","61,831"
"100,013","60,724","62,048"
"109,865","68,094","69,749"
"110,037","68,235","69,893"
"119,803","76,522","78,047"
"119,996","76,685","78,201"
"129,716","83,898","84,936"
"129,917","84,019","85,051"
"139,731","88,87","89,667"
"139,901","88,946","89,738"
