x,Right,Left
"9,816","-4,754","-3,29"
"10,171","-4,661","-3,183"
"19,917","-2,372","-0,429"
"20,186","-2,325","-0,363"
"29,933","-0,87","1,644"
"30,114","-0,835","1,678"
"39,978","1,502","3,485"
"40,156","1,539","3,519"
"49,905","3,034","5,383"
"50,129","3,069","5,421"
"59,952","4,774","6,727"
"60,031","4,785","6,735"
"69,905","6,403","8,861"
"70,073","6,454","8,945"
"79,845","10,102","14,258"
"80,013","10,145","14,294"
"89,91","10,532","12,889"
"90,003","10,526","12,872"
"99,895","10,211","12,792"
"99,992","10,212","12,797"
"109,953","11,204","13,511"
"110,071","11,231","13,53"
"119,845","14,327","16,046"
"120,025","14,384","16,099"
"129,859","16,876","18,849"
"130,068","16,924","18,908"
"139,872","19,238","21,797"
"139,922","19,25","21,812"
